id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
3930,Jokic,Nikola,54.47,DEN,C,DAL,34.00,24.48,0.72,12.33,9.10,1.25,0.68,3.05,8.56,5.20,1.15,9.28,5.59,0.76,0.372,,
5658,Doncic,Luka,52.76,DAL,PG,@ DEN,37.00,29.13,3.23,8.28,7.40,1.27,0.46,3.16,6.76,5.92,2.07,9.99,11.20,0.38,0.118,,
3701,Antetokounmpo,Giannis,52.16,MIL,PF/C,NYK,33.00,27.22,0.77,12.31,6.59,0.92,1.21,3.86,8.92,7.07,3.80,9.69,7.36,0.76,0.084,,
6152,Haliburton,Tyrese,48.90,IND,PG/SG,CLE,35.00,22.82,3.15,3.78,11.71,1.49,0.50,2.90,4.49,4.39,0.68,7.64,8.21,0.65,0.013,Questionable,
3542,Lillard,Damian,46.76,MIL,PG,NYK,36.00,26.49,3.61,5.48,7.86,0.91,0.35,2.91,4.45,6.76,0.83,8.06,10.37,0.31,0.022,,
5693,Gilgeous-Alexander,Shai,46.39,OKC,PG/SG,GSW,36.00,29.66,0.86,4.90,5.10,1.67,0.74,2.48,8.40,10.28,1.41,9.26,9.36,0.07,0.002,,
5698,Jackson Jr.,Jaren,45.29,MEM,PF/C,@ POR,33.00,23.91,2.00,7.31,1.37,1.20,3.00,2.18,6.19,5.53,1.38,8.19,8.67,0.31,0.000,,
3357,Butler,Jimmy,43.56,MIA,SF/PF,WAS,34.00,22.89,0.60,5.95,6.36,1.65,0.38,1.41,7.20,6.69,1.13,7.80,6.97,0.11,0.008,,
6164,Bane,Desmond,41.55,MEM,SG/SF,@ POR,35.00,24.43,3.10,5.30,5.18,1.27,0.41,2.61,5.62,3.89,0.66,8.72,9.56,0.07,0.005,,
2999,Curry,Stephen,41.41,GSW,PG,@ OKC,32.00,25.41,4.13,4.66,5.51,1.04,0.30,3.04,4.30,4.42,0.39,8.43,8.92,0.07,0.002,,
3932,LaVine,Zach,40.83,CHI,SG/SF,BKN,36.00,26.04,2.72,4.37,5.10,0.88,0.32,2.25,6.32,5.24,0.91,9.04,9.58,0.07,0.002,,
5460,Mitchell,Donovan,40.68,CLE,PG/SG,@ IND,36.00,26.03,2.97,4.59,4.18,1.34,0.33,2.57,6.22,4.68,0.82,9.19,9.98,0.03,0.001,,
5053,Turner,Myles,40.07,IND,C,CLE,30.00,18.79,1.48,8.50,1.79,0.59,2.91,1.98,5.45,3.45,1.02,6.93,5.89,0.38,0.000,,
3404,Vucevic,Nikola,39.21,CHI,C,BKN,34.00,18.84,1.24,10.19,3.67,0.70,0.63,1.59,6.66,1.80,0.43,7.90,6.82,0.57,0.011,,
6276,Mobley,Evan,38.97,CLE,PF/C,@ IND,35.00,18.19,0.35,9.30,3.04,0.67,1.79,1.58,6.95,3.24,1.69,7.30,5.55,0.49,0.010,,
5679,Brunson,Jalen,38.97,NYK,PG,@ MIL,34.00,25.03,2.09,3.29,5.27,0.91,0.18,1.67,6.84,5.08,1.15,8.93,8.64,0.07,0.001,,
6498,Holmgren,Chet,38.85,OKC,PF/C,GSW,31.00,14.56,1.58,10.18,2.44,0.70,2.50,1.63,3.88,2.06,0.79,5.46,5.99,0.49,0.005,,
3946,Randle,Julius,38.80,NYK,PF,@ MIL,35.00,22.23,2.62,8.74,3.84,0.70,0.31,2.86,4.84,4.69,1.52,7.46,10.66,0.38,0.008,,
3369,Irving,Kyrie,38.66,DAL,PG/SG,@ DEN,36.00,21.96,2.53,4.35,4.65,1.21,0.57,1.70,5.50,3.37,0.33,8.03,9.11,0.03,0.001,Questionable,
5345,Murray,Jamal,38.13,DEN,PG/SG,DAL,34.00,20.22,2.70,4.15,7.07,1.00,0.25,2.22,4.53,3.06,0.51,7.23,8.03,0.31,0.009,,
6504,Sharpe,Shaedon,37.12,POR,SG/SF,MEM,40.00,21.27,2.85,5.86,4.07,1.01,0.60,2.52,4.92,2.88,0.92,7.77,9.36,0.07,0.002,,
5913,Herro,Tyler,36.62,MIA,PG/SG,WAS,36.00,20.70,3.22,4.91,6.05,0.88,0.24,2.87,4.34,2.36,0.28,7.56,9.74,0.11,0.003,,
5461,Adebayo,Bam,36.57,MIA,C,WAS,35.00,19.08,0.03,8.49,3.94,1.01,0.92,2.41,7.67,3.65,1.00,7.70,6.24,0.38,0.008,,
3921,Grant,Jerami,35.85,POR,PF,MEM,37.00,21.27,2.16,5.12,3.16,0.91,0.99,2.12,4.65,5.49,1.21,6.81,8.89,0.07,0.001,,
5716,Ayton,Deandre,35.40,POR,C,MEM,32.00,17.54,0.13,11.22,1.44,0.64,1.00,1.72,7.32,2.51,0.79,7.45,5.32,0.62,0.000,,
5717,Bridges,Mikal,35.33,BKN,SG/SF,@ CHI,35.00,23.35,1.96,4.43,3.22,0.97,0.45,2.21,6.12,5.23,0.66,8.08,8.39,0.03,0.001,,
3006,DeRozan,DeMar,34.92,CHI,SG/SF,BKN,34.00,20.13,0.76,4.49,4.76,1.05,0.54,1.65,6.43,4.99,0.85,7.19,8.21,0.03,0.001,,
5473,Kuzma,Kyle,34.82,WAS,SF/PF,@ MIA,30.00,19.66,2.18,8.14,3.61,0.61,0.42,2.84,5.19,2.74,0.94,7.37,9.01,0.38,0.008,,
5936,Poole,Jordan,34.72,WAS,PG/SG,@ MIA,30.00,23.94,2.80,3.24,4.87,0.72,0.34,3.21,4.67,6.20,0.93,7.47,9.62,0.03,0.001,,
5308,Brogdon,Malcolm,32.67,POR,PG/SG,MEM,32.00,17.27,2.12,4.84,5.19,0.82,0.36,1.96,4.01,2.89,0.48,6.13,7.48,0.07,0.002,,
6282,Giddey,Josh,32.58,OKC,SG/SF/PF,GSW,30.00,14.78,1.04,6.91,5.99,0.84,0.28,1.99,4.84,1.98,0.76,5.88,6.90,0.09,0.006,,
3399,Thompson,Klay,31.63,GSW,SG/SF,@ OKC,32.00,19.60,3.99,3.98,1.93,0.70,0.43,1.52,3.09,1.45,0.19,7.08,9.65,0.02,0.000,,
5973,Claxton,Nicolas,31.56,BKN,C,@ CHI,28.00,12.70,0.00,8.12,1.84,0.81,1.92,1.06,5.43,1.84,1.22,5.43,2.17,0.29,0.000,Questionable,
5682,Porter Jr.,Michael,31.51,DEN,SF,DAL,30.00,17.97,3.26,6.20,1.34,0.55,0.51,1.23,3.34,1.51,0.40,6.60,7.16,0.11,0.000,,
3920,Gordon,Aaron,30.79,DEN,PF,DAL,31.00,15.03,0.74,6.71,3.54,0.66,0.66,1.20,5.21,2.39,1.39,5.95,4.86,0.10,0.002,,
2464,Paul,Chris,30.61,GSW,PG,@ OKC,28.00,11.81,1.42,3.46,7.60,1.33,0.31,1.65,2.85,1.85,0.38,4.27,4.91,0.20,0.004,,
6518,Williams,Jalen,30.05,OKC,SG/SF/PF,GSW,33.00,15.70,1.01,4.75,3.50,1.49,0.41,1.67,4.97,2.73,0.56,5.98,6.23,0.03,0.001,,
5685,Brown,Bruce,29.65,IND,PG/SG/SF,CLE,31.00,14.43,1.17,5.19,2.93,1.34,0.75,1.45,4.13,2.66,0.80,5.30,5.76,0.06,0.001,,
6298,Thomas,Cam,29.45,BKN,SG/SF,@ CHI,31.00,22.90,1.51,3.16,2.28,0.57,0.18,2.22,6.05,6.27,1.04,7.56,8.45,0.02,0.000,,
3949,Smart,Marcus,29.12,MEM,PG,@ POR,32.00,12.52,1.93,3.52,6.11,1.48,0.36,2.16,2.29,2.15,0.64,4.22,6.08,0.08,0.002,,
6168,Tillman,Xavier,29.05,MEM,PF/C,@ POR,28.00,11.69,0.14,7.80,2.32,1.35,0.71,1.00,5.05,1.17,0.81,5.19,3.27,0.20,0.002,,
5025,Jones,Tyus,28.95,WAS,PG,@ MIA,27.00,12.44,1.97,3.24,6.27,1.13,0.05,1.19,2.64,1.25,0.32,4.61,5.62,0.08,0.002,,
6112,Garland,Darius,28.64,CLE,PG,@ IND,30.00,16.82,1.88,2.17,5.83,0.96,0.13,2.37,4.17,2.84,0.39,6.05,6.38,0.06,0.001,Questionable,
5468,Allen,Jarrett,28.46,CLE,C,@ IND,27.00,12.75,0.03,8.64,1.33,0.63,0.98,0.90,5.20,2.26,0.84,5.23,2.60,0.29,0.000,Questionable,
5976,White,Coby,27.76,CHI,PG/SG,BKN,30.00,13.61,2.41,3.67,4.84,0.82,0.19,1.49,2.52,1.34,0.15,4.93,5.92,0.02,0.000,,
5271,Simmons,Ben,27.68,BKN,PG/SG/PF,@ CHI,30.00,9.16,0.00,6.53,7.05,1.34,0.50,2.79,4.20,0.76,0.63,4.20,2.80,0.15,0.017,,
5706,Robinson,Mitchell,27.19,NYK,C,@ MIL,29.00,8.52,0.00,9.13,0.91,1.07,1.69,1.06,3.67,1.18,1.28,3.67,1.93,0.19,0.000,,
3914,Dinwiddie,Spencer,27.11,BKN,PG/SG,@ CHI,32.00,13.66,1.85,3.72,5.83,0.65,0.24,2.17,2.45,3.21,0.80,4.30,6.16,0.06,0.001,Questionable,
6185,Quickley,Immanuel,26.96,NYK,PG/SG,@ MIL,26.00,15.35,2.19,3.41,2.93,0.88,0.14,1.07,2.94,2.90,0.68,5.13,6.26,0.02,0.000,,
6505,Mathurin,Bennedict,26.77,IND,SG/SF,CLE,30.00,18.16,1.20,4.52,1.93,0.80,0.30,2.12,4.50,5.56,1.12,5.70,6.96,0.03,0.000,,
5977,Gafford,Daniel,26.58,WAS,PF/C,@ MIA,26.00,11.12,0.01,8.19,1.58,0.63,1.45,1.62,4.72,1.65,0.67,4.73,1.73,0.25,0.000,Questionable,
2846,Lopez,Brook,26.49,MIL,C,NYK,28.00,10.94,0.99,5.97,1.10,0.50,2.15,1.12,3.08,1.81,0.41,4.07,3.99,0.04,0.000,,
6076,Strus,Max,26.32,CLE,SG/SF,@ IND,34.00,14.26,3.18,4.01,2.45,0.59,0.12,0.88,1.56,1.60,0.28,4.74,7.20,0.03,0.000,,
5046,Richardson,Josh,26.20,MIA,SG,WAS,28.00,12.63,2.43,3.33,3.71,1.17,0.43,1.62,2.05,1.24,0.24,4.48,5.82,0.02,0.000,,
3487,Green,Draymond,25.24,GSW,PF/C,@ OKC,30.00,7.01,0.43,6.93,6.02,1.18,0.72,2.64,2.43,0.86,0.35,2.86,2.71,0.03,0.004,,
6057,Barrett,R.J.,25.24,NYK,SG/SF,@ MIL,31.00,16.54,1.64,4.64,2.35,0.48,0.22,2.08,4.38,2.86,1.11,6.02,7.51,0.03,0.000,Questionable,
3957,Wiggins,Andrew,24.87,GSW,SF/PF,@ OKC,27.00,13.55,1.63,4.25,1.69,0.84,0.69,1.28,3.67,1.32,0.82,5.30,5.99,0.02,0.000,,
6154,Avdija,Deni,24.80,WAS,SF/PF,@ MIA,26.00,10.35,1.10,7.10,3.40,0.84,0.31,1.95,2.74,1.57,0.59,3.84,4.52,0.18,0.004,,
5364,Hield,Buddy,24.62,IND,SG/SF,CLE,24.00,12.98,2.73,4.13,2.27,0.82,0.29,1.40,1.68,1.43,0.32,4.41,5.83,0.02,0.000,,
5427,Beasley,Malik,23.76,MIL,SG/SF,NYK,31.00,12.23,2.85,4.44,1.74,0.80,0.22,1.17,1.35,0.98,0.28,4.20,6.64,0.02,0.000,,
5028,Looney,Kevon,23.55,GSW,PF/C,@ OKC,24.00,6.97,0.00,9.52,1.91,0.69,0.53,0.71,2.81,1.35,0.98,2.81,1.79,0.05,0.000,,
5425,LeVert,Caris,23.48,CLE,SG/SF,@ IND,27.00,11.64,1.78,3.20,3.48,0.85,0.30,1.23,2.26,1.78,0.68,4.04,5.37,0.01,0.000,,
6148,Toppin,Obi,23.27,IND,PF,CLE,23.00,12.24,1.56,4.69,1.77,0.58,0.44,0.95,3.03,1.50,0.39,4.59,5.02,0.02,0.000,,
