,player_name,playedInGame,player_age,team_name,against,date,gw,points,rebounds,assists,blocks,steals,turnovers,fieldGoalAttempts,freeThrowAttempts,made3PointFGs,doubleDoubles,tripleDoubles,score
31917,chimezie-metu-19970322,False,26,Phoenix Suns,Los Angeles Lakers,2023-10-27T02:00:00Z,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31637,josh-okogie-19980901,True,25,Phoenix Suns,Los Angeles Lakers,2023-10-27T02:00:00Z,1,10,9.6,4.5,3,0,-2,0,0,2,0,0,27.1
31616,jordan-goodwin-19981023,True,25,Phoenix Suns,Los Angeles Lakers,2023-10-27T02:00:00Z,1,14,7.199999999999999,3.0,0,6,-2,0,0,1,0,0,29.2
31724,cam-reddish-19990901,True,24,Los Angeles Lakers,Phoenix Suns,2023-10-27T02:00:00Z,1,4,1.2,0.0,0,0,-2,0,0,0,0,0,3.2
31722,yuta-watanabe-19941013,True,29,Phoenix Suns,Los Angeles Lakers,2023-10-27T02:00:00Z,1,3,1.2,0.0,0,0,-2,0,0,1,0,0,3.2
31622,gabe-vincent-19960614,True,27,Los Angeles Lakers,Phoenix Suns,2023-10-27T02:00:00Z,1,7,3.5999999999999996,9.0,0,9,0,0,0,0,0,0,28.6
31534,kevin-durant-19880929,True,35,Phoenix Suns,Los Angeles Lakers,2023-10-27T02:00:00Z,1,39,13.2,3.0,3,3,-16,0,0,1,1,0,47.2
31939,max-christie-20030210,False,20,Los Angeles Lakers,Phoenix Suns,2023-10-27T02:00:00Z,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31626,taurean-prince-19940322,True,29,Los Angeles Lakers,Phoenix Suns,2023-10-27T02:00:00Z,1,0,0.0,0.0,0,3,0,0,0,0,0,0,3.0
31700,drew-eubanks-19970201,True,27,Phoenix Suns,Los Angeles Lakers,2023-10-27T02:00:00Z,1,2,4.8,3.0,0,0,-4,0,0,0,0,0,5.800000000000001
31697,christian-wood-19950927,True,28,Los Angeles Lakers,Phoenix Suns,2023-10-27T02:00:00Z,1,7,12.0,1.5,0,0,-2,0,0,0,0,0,18.5
31537,lebron-james-19841230,True,39,Los Angeles Lakers,Phoenix Suns,2023-10-27T02:00:00Z,1,21,9.6,13.5,6,6,-10,0,0,1,0,0,47.1
31922,udoka-azubuike-19990917,False,24,Phoenix Suns,Los Angeles Lakers,2023-10-27T02:00:00Z,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31946,colin-castleton-20000525,False,23,Los Angeles Lakers,Phoenix Suns,2023-10-27T02:00:00Z,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31608,dangelo-russell-19960223,True,27,Los Angeles Lakers,Phoenix Suns,2023-10-27T02:00:00Z,1,14,4.8,7.5,3,6,-6,0,0,1,0,0,30.299999999999997
31950,bol-bol-19991116,False,24,Phoenix Suns,Los Angeles Lakers,2023-10-27T02:00:00Z,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31930,saben-lee-19990623,False,24,Phoenix Suns,Los Angeles Lakers,2023-10-27T02:00:00Z,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31678,grayson-allen-19951008,True,28,Phoenix Suns,Los Angeles Lakers,2023-10-27T02:00:00Z,1,6,7.199999999999999,6.0,0,0,0,0,0,2,0,0,21.2
31672,eric-gordon-19881225,True,35,Phoenix Suns,Los Angeles Lakers,2023-10-27T02:00:00Z,1,15,2.4,0.0,0,0,-4,0,0,2,0,0,15.399999999999999
31592,austin-reaves-19980529,True,25,Los Angeles Lakers,Phoenix Suns,2023-10-27T02:00:00Z,1,10,2.4,1.5,0,3,-2,0,0,1,0,0,15.899999999999999
31517,anthony-davis-19930311,True,30,Los Angeles Lakers,Phoenix Suns,2023-10-27T02:00:00Z,1,30,14.399999999999999,3.0,9,9,-4,0,0,1,1,0,63.400000000000006
31786,nassir-little-20000211,True,23,Phoenix Suns,Los Angeles Lakers,2023-10-27T02:00:00Z,1,2,2.4,0.0,3,3,-2,0,0,0,0,0,8.4
31842,jaxson-hayes-20000523,True,23,Los Angeles Lakers,Phoenix Suns,2023-10-27T02:00:00Z,1,0,2.4,0.0,0,3,-4,0,0,0,0,0,1.4000000000000004
31868,maxwell-lewis-20020727,False,21,Los Angeles Lakers,Phoenix Suns,2023-10-27T02:00:00Z,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31560,jusuf-nurkic-19940823,True,29,Phoenix Suns,Los Angeles Lakers,2023-10-27T02:00:00Z,1,4,10.799999999999999,4.5,0,9,-8,0,0,0,0,0,20.299999999999997
31960,keita-bates-diop-19960123,False,28,Phoenix Suns,Los Angeles Lakers,2023-10-27T02:00:00Z,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31956,dmoi-hodge-19981220,False,25,Los Angeles Lakers,Phoenix Suns,2023-10-27T02:00:00Z,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31760,rui-hachimura-19980208,True,25,Los Angeles Lakers,Phoenix Suns,2023-10-27T02:00:00Z,1,7,0.0,0.0,3,3,-2,0,0,1,0,0,12.0
31587,joel-embiid-19940316,True,29,Philadelphia 76ers,Milwaukee Bucks,2023-10-26T23:30:00Z,1,24,8.4,9.0,3,0,-14,0,0,3,0,0,33.4
31792,patrick-beverley-19880712,True,35,Philadelphia 76ers,Milwaukee Bucks,2023-10-26T23:30:00Z,1,2,2.4,3.0,0,0,0,0,0,0,0,0,7.4
31585,kelly-oubre-jr-19951209,True,28,Philadelphia 76ers,Milwaukee Bucks,2023-10-26T23:30:00Z,1,27,4.8,0.0,0,3,-6,0,0,5,0,0,33.8
31741,p-j-tucker-19850505,True,38,Philadelphia 76ers,Milwaukee Bucks,2023-10-26T23:30:00Z,1,0,8.4,0.0,0,6,0,0,0,0,0,0,14.4
31739,brook-lopez-19880401,True,35,Milwaukee Bucks,Philadelphia 76ers,2023-10-26T23:30:00Z,1,13,2.4,0.0,0,0,-4,0,0,3,0,0,14.4
31607,tobias-harris-19920715,True,31,Philadelphia 76ers,Milwaukee Bucks,2023-10-26T23:30:00Z,1,20,8.4,3.0,0,0,-4,0,0,3,0,0,30.4
31893,filip-petrusev-20000415,False,23,Philadelphia 76ers,Milwaukee Bucks,2023-10-26T23:30:00Z,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31802,marjon-beauchamp-20011012,True,22,Milwaukee Bucks,Philadelphia 76ers,2023-10-26T23:30:00Z,1,4,2.4,0.0,0,0,0,0,0,0,0,0,6.4
31779,paul-reed-19990614,True,24,Philadelphia 76ers,Milwaukee Bucks,2023-10-26T23:30:00Z,1,3,4.8,3.0,3,0,-4,0,0,0,0,0,9.8
31928,furkan-korkmaz-19970724,False,26,Philadelphia 76ers,Milwaukee Bucks,2023-10-26T23:30:00Z,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31796,danny-green-19870622,True,36,Philadelphia 76ers,Milwaukee Bucks,2023-10-26T23:30:00Z,1,0,2.4,1.5,0,3,0,0,0,0,0,0,6.9
31867,mo-bamba-19980512,False,25,Philadelphia 76ers,Milwaukee Bucks,2023-10-26T23:30:00Z,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
31716,pat-connaughton-19930106,True,31,Milwaukee Bucks,Philadelphia 76ers,2023-10-26T23:30:00Z,1,7,2.4,3.0,3,0,0,0,0,1,0,0,16.4
