,displayName,tenGameAverage,slug,l10,diff
0,Chimezie Metu,5,chimezie-metu-19970322,4.0,-1.0
1,Josh Okogie,11,josh-okogie-19980901,21.0,10.0
2,Jordan Goodwin,25,jordan-goodwin-19981023,24.0,-1.0
3,Cam Reddish,11,cam-reddish-19990901,3.0,-8.0
4,Yuta Watanabe,12,yuta-watanabe-19941013,7.0,-5.0
5,Gabe Vincent,18,gabe-vincent-19960614,18.0,0.0
6,Kevin Durant,45,kevin-durant-19880929,40.0,-5.0
7,Max Christie,4,max-christie-20030210,0.0,-4.0
8,Taurean Prince,15,taurean-prince-19940322,15.0,0.0
9,Drew Eubanks,28,drew-eubanks-19970201,23.0,-5.0
10,Christian Wood,22,christian-wood-19950927,19.0,-3.0
11,LeBron James,53,lebron-james-19841230,48.0,-5.0
12,Udoka Azubuike,15,udoka-azubuike-19990917,10.0,-5.0
13,Colin Castleton,0,colin-castleton-20000525,0.0,0.0
14,D'Angelo Russell,25,dangelo-russell-19960223,27.0,2.0
15,Bol Bol,13,bol-bol-19991116,7.0,-6.0
16,Saben Lee,14,saben-lee-19990623,8.0,-6.0
17,Grayson Allen,21,grayson-allen-19951008,19.0,-2.0
18,Eric Gordon,21,eric-gordon-19881225,20.0,-1.0
19,Austin Reaves,28,austin-reaves-19980529,29.0,1.0
20,Anthony Davis,58,anthony-davis-19930311,54.0,-4.0
21,Nassir Little,13,nassir-little-20000211,13.0,0.0
22,Jaxson Hayes,4,jaxson-hayes-20000523,2.0,-2.0
23,Maxwell Lewis,0,maxwell-lewis-20020727,0.0,0.0
24,Jusuf NurkiÄ‡,28,jusuf-nurkic-19940823,23.0,-5.0
25,Keita Bates-Diop,24,keita-bates-diop-19960123,22.0,-2.0
26,D'Moi Hodge,0,dmoi-hodge-19981220,0.0,0.0
27,Rui Hachimura,17,rui-hachimura-19980208,21.0,4.0
28,Joel Embiid,50,joel-embiid-19940316,46.0,-4.0
29,Patrick Beverley,16,patrick-beverley-19880712,17.0,1.0
30,Kelly Oubre Jr.,32,kelly-oubre-jr-19951209,18.0,-14.0
31,P.J. Tucker,14,p-j-tucker-19850505,13.0,-1.0
32,Brook Lopez,30,brook-lopez-19880401,32.0,2.0
33,Tobias Harris,28,tobias-harris-19920715,27.0,-1.0
34,Filip Petrusev,1,filip-petrusev-20000415,0.0,-1.0
35,MarJon Beauchamp,10,marjon-beauchamp-20011012,8.0,-2.0
36,Paul Reed,9,paul-reed-19990614,21.0,12.0
37,Furkan Korkmaz,8,furkan-korkmaz-19970724,5.0,-3.0
38,Danny Green,9,danny-green-19870622,7.0,-2.0
39,Mo Bamba,6,mo-bamba-19980512,5.0,-1.0
40,Pat Connaughton,16,pat-connaughton-19930106,10.0,-6.0
41,Jaden Springer,6,jaden-springer-20020925,5.0,-1.0
42,Robin Lopez,6,robin-lopez-19880401,4.0,-2.0
43,De'Anthony Melton,20,deanthony-melton-19980528,17.0,-3.0
44,Bobby Portis,24,bobby-portis-19950210,30.0,6.0
45,Damian Lillard,42,damian-lillard-19900715,54.0,12.0
46,Cameron Payne,14,cameron-payne-19940808,12.0,-2.0
47,Danuel House Jr.,7,danuel-house-jr-19930607,10.0,3.0
48,Jae Crowder,17,jae-crowder-19900706,18.0,1.0
49,Giannis Antetokounmpo,43,giannis-antetokounmpo-19941206,48.0,5.0
50,Thanasis Antetokounmpo,5,thanasis-antetokounmpo-19920718,5.0,0.0
51,Tyrese Maxey,40,tyrese-maxey-20001104,39.0,-1.0
52,Khris Middleton,27,khris-middleton-19910812,30.0,3.0
53,A.J. Green,7,a-j-green-19990927,3.0,-4.0
54,Chris Livingston,8,chris-livingston-20031015,0.0,-8.0
55,Malik Beasley,13,malik-beasley-19961126,14.0,1.0
56,Andre Jackson Jr.,9,andre-jackson-jr-20011113,0.0,-9.0
57,Ivica Zubac,22,ivica-zubac-19970318,29.0,7.0
58,Kenyon Martin Jr.,19,kj-martin-jr-20010106,21.0,2.0
59,Paul George,46,paul-george-19900502,43.0,-3.0
60,Jordan Miller,3,jordan-miller-20000123,2.0,-1.0
61,Moussa Diabate,5,moussa-diabate-20020121,3.0,-2.0
62,Jabari Walker,15,jabari-walker-20020730,15.0,0.0
63,Anfernee Simons,27,anfernee-simons-19990608,27.0,0.0
64,Rayan Rupert,0,rayan-rupert-20040531,0.0,0.0
65,Kobe Brown,7,kobe-brown-20000101,0.0,-7.0
66,Russell Westbrook,42,russell-westbrook-19881112,37.0,-5.0
67,Norman Powell,27,norman-powell-19930525,23.0,-4.0
68,Robert Covington,11,robert-covington-19901214,14.0,3.0
